id,vi,cn
33,"Bức thư viết cho chính mình số 033 Đôi khi, bạn nỗ lực một chút là để cho mình có vị trí tốt và không phải làm việc mình không thích; để khi gặp được một người mình thích, không phải vì bản thân không đủ tốt mà đánh mất người đó; để bạn bè cho dù có xa cách nhau bao lâu nhưng tương lai vẫn có thể trở về bên nhau; để chúng ta tự nhìn rõ đích cuối bản thân sẽ đến là đâu.",写给自己的第33封信 不去做不喜欢的事； 努力一点， 有时候， 为了能 是为让自己有资格， 不会因为， 遇见一个喜欢的人时， 让自己， 自己不够好而没能留住对方； 为了看清自己最后 为了避免， 与朋友拉开差距未来也能看到同一个世界； 能走到哪里。
34,"Bức thư viết cho chính mình số 034 Rượu phải ủ lâu mới đủ độ và ngon, sống không thể vội vàng được. Diễn tốt vai trò của mình, hoàn thành đúng trách nhiệm được giao, tránh hành động vượt quá vị trí. Tuy nhiên một khi đã xác định mục tiêu, hãy nhắm kỹ nó. Đừng sợ cạnh tranh, vì không có cạnh tranh sự sống sẽ mất đi ý nghĩa, chiến thắng sẽ mất đi thi vị.",写给自己的第34封信 演好自己的角色， 成功酝酿于好的品质， 不要松懈精神上的追求； 做  就死死地盯着它; 好职责内的事情， 防止轻易越位； 一旦确定目标， 不要 没有竞争， 生存就失去了意义。 害怕竞争，
35,"Bức thư viết cho chính mình số 035 được tôi. Tôi không hiểu rõ đau buồn bất lực là gì, chí biết trên đời không có cái gì gọi là “đường cùng” cả. Tôi không biết cái gì thực sự là thất bại thảm khốc, chỉ biết tôi luôn ngẩng cao đầu tiến lên phía trước. Tôi không tài nào định nghĩa chông gai trùng trùng, chỉ biết bản thân luôn phải tiếp tục đầy nghị lực đi đến phía bên kia bờ - nơi mang tên “thành công”!",写给自己的第35封信 不知道什么艰难困苦， 只知道风雨无阻； 不知道什么悲伤无助， 只知 不知道什么荆棘密 不知道什么失败惨楚， 只知道昂首阔步; 道天无绝路； 只知道毅然走去成功， 就在彼岸！
36,"Bức thư viết cho chính mình số 036 Mỗi người đều cảm thấy bản thân không đủ tốt hoặc may mắn, ngưỡng mộ người khác gặt hái thành công, nhưng đa phần mọi người đều chỉ bình thường như nhau cả thôi. Đừng tuyệt vọng, cũng đừng hoảng sợ, hãy đơn giản là một chú ốc sên nhỏ kiên trì bò từng chút một trong cuộc sống bình thường nhất, khiêm tốn điềm nghiễm nhiên trở thành hình tượng trước kia mình từng vô cùng hâm mộ.",写给自己的第36封信 但其实大多 羡慕别人闪闪发光的时候， 每个人都有觉得自己不够好， 做努力爬的蜗牛或坚持飞的笨鸟， 不要沮丧， 人都是普通的。 不必惊慌， 谦卑和努力。 在最平凡的生活里， 活成 你会站在最亮的地方， 总有一天， 自己曾经渴望的模样。
37,"Bức thư viết cho chính mình số 037 Về sau có thể mới hiểu: Phải kiếm đủ số tiền để sống một cách an tâm mới có được cuộc sống gọi là giản đơn, an nhàn, tự do và mới khiến cho cuộc sống tràn đầy gian kế khố lại.",写给自己的第37封信 自由 才能过上简单、 要赚到足够令自己安心的钱， 安逸、 后来才明白， 多花时间努力， 少点工夫矫情。 才能让自己活得更有底气。 的生活， 所以，
38,"Bức thư viết cho chính mình số 038 Một người không chịu cố gắng nỗ lực thì dù người khác có muốn giúp bạn một tay, cũng chẳng nhìn thấy tay bạn đâu để mà kéo giúp cả. 4Iẵ o",写给自己的第38封信 都找不到你的手在哪里。 一个不努力的人， 别人想拉你一把，
39,"Bức thư viết cho chính mình số 039 Lòng khoan dung của một người được thế hiện trong lúc họ tuyệt vọng sa sút. Một con người có giáo dục hay không được phần ánh trong lúc họ thể hiện sự tức giận. Sự chu đáo của một người được thể hiện trong lúc họ đang có tâm trạng đau buồn. Sự trưởng thành của mộtngười được thế hiện qua mỗi lần họ đưa ra lựa chọn và quyết định. Ai cũng muốn làm những điều mình thích nhưng khi bạn làm những việc cần làm và phải làm, đó mới là lúc bạn biết mình đã trưởng thành hay chưa.",写给自己的第39封信 体现在愤怒的时 一个人的涵养， 体现在落魄的时候。 一个人的豁达， 一个人的体贴， 体现在抉择的时 一个人的成熟， 体现在悲伤的时候。 谁都愿意做自己喜欢的事情， 才叫成长。 做你该做的事情，
40,"Bức thư viết cho chính mình số 040 Nếu ai đó coi thường nhạo báng bạn, bạn tôi ơi, không cần phải tức giận, càng không cần phải tìm cách thể hiện, chứng minh bản thân tài giỏi xuất chúng đến thế nào. Làm như vậy sẽ chỉ khiến bạn mệt mỏi phô diễn. Bởi vì những người coi thường bạn như vậy trên đời này quá nhiều, bạn không thể thỏa mãn tất cả những người đó được. Cách tốt nhất là ai không quan tâm đến bạn, bạn cũng đừng quan tâm đến họ. Đừng vì một hai câu nói của người khác mà thay đối cách nhìn nhận của mình. Phải tiếp tục thế nào và nỗ lực ra sao là do chính bản thân bạn quyết định mà thôi. gủ dúh xiàngshàng de hhàng.",写给自己的第40封信 如果有人不拿你当回事， 更别铆足了劲儿去表现， 没必要因此生气， 因为拿你不当一回事的人多着 这样做会累死你， 非要证明自己多出色， 你也不必在乎 最好的办法是谁不在乎你， 你无法满足所有人的眼光。 自己是怎样继续怎 不必为别人的一两句话就改变自己对自己的看法， 只是为了自己。 你的努力，
41,"Bức thư viết cho chính mình số 041 cười với mọi người. Đây không phải là để làm hài lòng những người khác, mà là đế tự làm đẹp cho bản thân, thanh lọc tâm hồn mình, tự nhủ với mình rằng: Tôi là con người độc lập, luôn mạnh mẽ vươn lên để thành công.",写给自己的第41封信 你努力工作， 你保持身材， 这些都不是为 你勤奋充电， 你对人微笑， 我是一股独 告诉自己： 照亮自己的心， 而是为了扮靓自己， 了取悦他人， 立向上的力量。
42,"Bức thư viết cho chính mình số 042 Duy trì những nỗ lực lớn nhất, chuẩn bị cho những tình huống xấu nhất, bạn sẽ chẳng phải sợ bất cứ điều gì. Hi sinh nhiều hơn, kì vọng ít hơn, bạn sẽ không thấy thất vọng. Có những giấc mơ đẹp nhất, nhưng sống lại thực tế, bạn sẽ không cảm thấy nhàm chán. Cuộc sống, bạn đã chuấẩn bị đến đâu; thì cứ đối mặt đến đấy thôi, đừng lo lắng.",写给自己的第42封信 做最大的努力， 做最多的付出， 做最坏的打算， 便无所畏惧； 做最小 的期待， 便不会无趣。 做最美的梦， 便不会失意； 过现实的生活， 生活， 准备得如何， 就如何去应对。
43,"Bức thư viết cho chính mình số 043 Nếu bạn bị đâm sau lưng, điều tích cực là bạn đang dẫn trước người khác. Nếu bạn phải chịu sự tổn thương do người khác đem lại, chứng tỏ bạn vẫn chưa cách họ đủ xa. Vì vậy, đừng dừng lại để giải thích về bản thân, để chứng minh rằng ai đó đang nhìn nhận một cách phiến diện. Cách duy nhất là phải hành động để chứng minh rằng. bình thản đối mặt với tất cả.",写给自己的第43封信 你的身后如果中了冷箭，- 你会被他们伤到， 说明你走在他们前面;：1 说 明你走得不够远， 不要停下来解释自己， 还在他们的射程以内。 要 所以， 为此你需要更努力地 唯一的办法就是证明自己是对的。 证明别人是偏见， 往前走， 平静而从容。
44,"Bức thư viết cho chính mình số 044 Sự trưởng thành của một con người không phải dựa trên những thành tựu đạt được, mà thể hiện qua việc đối mặt với những người và những việc bản thân không hài lòng. Bạn không cần đón chào cũng như không khuất phục, chỉ một nụ cười trên môi rồi đối mặt tất cả. Khi trái tim phải chứa đựng quá nhiều điều không như ý, thì điều hay là bạn đang sở hữu một loại vũ khí tuyệt vời!",写给自己的第44封信 一个人的成熟， 并不表现在获得了多少成就上， 而是面对那些厌恶的 当内心可以容纳很多自己不 人和事， 只淡然一笑对之。 不迎合也不抵触， 喜欢的事物时， 就有了气场！
45,"Bức thư viết cho chính mình số 045 Mỗi ngày tôi cố gắng hơn một chút chẳng phải vì điều gì to tát, chẳng qua chính là để có nhiều lựa chọn hơn trong tương lai: Chọn một cuộc sống an nhàn giản đơn hay có thể tự do lựa chọn người mình thích.",写给自己的第45封信 每天多一点点的努力， 只为了日后能够多一些选择， 选择 不为别的，- 云卷云舒的小日子， 选择自己喜欢的人。
46,"Bức thư viết cho chính mình số 14 Bạn của tôi ơi, đừng sống tự ti. Một người quá tự tỉ thường rất nhạy cảm. Mà người quá nhạy cảm thường không vui vẻ. Cách tốt nhất là chú trọng vào chính mình. Khi bạn đủ mạnh mẽ rồi, tự nhiên bạn sẽ không để ý tới người khác nghĩ gì về mình nữa. Ỉ›",写给自己的第46封信 经常喜欢发呆， 今天告 做什么事都没有坚持的动力， 每天习惯晚睡， 诉自己明天要努力， 你无法忍受现在的自己， 明天起来一如往日的模样， 却没毅力改变。 大多是因为 一切也就越糟糕， 所有的无能为力， 越习惯， 你—不曾真正努力！
47,"Bức thư viết cho chính mình số 047 Người có thói quen thức khuya, thường hay có chứng ngây người, làm gì cũng không có động lực đế kiên trì. Hôm nay nói với bản thân mình ngày mai phải nỗ lực, ngày mai cũng lại tiếp tục như vậy giống hôm trước. Bạn thấy khó chịu với chính mình ở hiện tại, nhưng bạn lại không có nghị lực thay đối. Càng để như vậy sẽ càng nguy hiểm, tất cả cảm giác bất lực chẳng qua là vì bạn không bao giờ đủ nỗ lực và đủ phấn đấu!",写给自己的第47封信 你可以发泄， 但也要发奋。 但也要发光。 你可以发火，
48,"Bức thư viết cho chính mình số 048 Bạn nên tự hào vì mình có một tâm hồn đầy kiêu hãnh như thế. Tâm hồn ấy đã từng bị chế nhạo, đã từng bị tổn thương, nhưng vẫn cần mẫn nỗ lực và phấn đấu. xìnggé de sùmìng.",写给自己的第48封信 曾经燃烧， 你要为自己有这样一颗心而骄傲。 曾被打 它曾被戏弄， 却还在努力工作。
